GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
General Log Parser,org.bitbucket.jrsofty.parser.logging.util,LogLineFormatReader,0,709,1,97,0,157,1,59,0,11
General Log Parser,org.bitbucket.jrsofty.parser.logging.util,Tokenizer,0,112,0,14,0,23,0,11,0,4
General Log Parser,org.bitbucket.jrsofty.parser.logging.util,ClassFieldMapper,0,141,0,12,0,27,0,9,0,3
General Log Parser,org.bitbucket.jrsofty.parser.logging.util,LogLineFormatException,0,4,0,0,0,2,0,1,0,1
General Log Parser,org.bitbucket.jrsofty.parser.logging.api,TokenMatcher,12,31,0,0,2,10,0,4,0,4
General Log Parser,org.bitbucket.jrsofty.parser.logging.api,LogParserFactory.DefaultLogParserFactory,0,11,0,0,0,3,0,2,0,2
General Log Parser,org.bitbucket.jrsofty.parser.logging.api,LogParserFactory,0,4,0,0,0,1,0,1,0,1
General Log Parser,org.bitbucket.jrsofty.parser.logging.api,IllegalClassException,0,35,0,0,0,6,0,3,0,3
General Log Parser,org.bitbucket.jrsofty.parser.logging.api,TokenParseException,20,19,0,0,2,2,1,1,1,1
General Log Parser,org.bitbucket.jrsofty.parser.logging.api,DefaultLogParser,8,248,0,14,2,49,0,13,0,6
